"ID","Type","Name","Documentation"
"id-svc-custfileproc","ApplicationService","Customer File Processor Service","Batch customer file processing - migrated from CBCUS01C.cbl"
"id-svc-dataexport","ApplicationService","Data Export Service","Export data to files - migrated from CBEXPORT.cbl"
"id-svc-dataimport","ApplicationService","Data Import Service","Import data from files - migrated from CBIMPORT.cbl"
"id-svc-cardauth","ApplicationService","Card Authorization Service","Real-time card authorization - migrated from COPAUR1C.cbl"
"id-svc-authsummary","ApplicationService","Authorization Summary Service","Authorization summary view - migrated from COPAUS0C.cbl"
"id-svc-authdetail","ApplicationService","Authorization Detail Service","Authorization detail processing - migrated from COPAUS1C.cbl"
"id-svc-authdetailview","ApplicationService","Authorization Detail View Service","Authorization detail view - migrated from COPAUS2C.cbl"
"id-svc-authbatch","ApplicationService","Authorization Batch Service","Batch authorization processing - migrated from CBPAUP0C.cbl"
"id-svc-trantypelist","ApplicationService","Transaction Type List Service","List transaction types - migrated from COTRTLIC.cbl"
"id-svc-trantypeupd","ApplicationService","Transaction Type Update Service","Update transaction types - migrated from COTRTUPC.cbl"
"id-svc-trantypebatch","ApplicationService","Transaction Type Batch Update Service","Batch update transaction types - migrated from COBTUPDT.cbl"
"id-svc-acctmsg","ApplicationService","Account Message Service","MQ messaging for account operations - migrated from COACCT01.cbl"
"id-svc-date","ApplicationService","Date Service","System date service via MQ - migrated from CODATE01.cbl"
"id-ctrl-account","ApplicationInterface","Account REST Controller","REST API for account operations (/api/accounts)"
"id-ctrl-card","ApplicationInterface","Card REST Controller","REST API for card operations (/api/cards)"
"id-ctrl-transaction","ApplicationInterface","Transaction REST Controller","REST API for transaction operations (/api/transactions)"
"id-ctrl-signon","ApplicationInterface","Signon REST Controller","REST API for authentication (/api/auth)"
"id-ctrl-user","ApplicationInterface","User REST Controller","REST API for user management (/api/users)"
"id-ctrl-report","ApplicationInterface","Report REST Controller","REST API for reports (/api/reports)"
"id-ctrl-authorization","ApplicationInterface","Authorization REST Controller","REST API for authorization operations (/api/authorization)"
"id-ctrl-trantype","ApplicationInterface","Transaction Type REST Controller","REST API for transaction type management (/api/transaction-types)"
"id-entity-account","DataObject","AccountRecord","Account master record - mapped from CVACT01Y copybook"
"id-entity-card","DataObject","CardRecord","Card master record - mapped from CVACT02Y copybook"
"id-entity-cardxref","DataObject","CardXrefRecord","Card cross-reference record - mapped from CVACT03Y copybook"
"id-entity-customer","DataObject","CustomerRecord","Customer master record - mapped from CVCUS01Y copybook"
"id-entity-transaction","DataObject","TransactionRecord","Transaction record - mapped from CVTRA05Y copybook"
"id-entity-dailytran","DataObject","DailyTransactionRecord","Daily transaction record - mapped from CVTRA06Y copybook"
"id-entity-user","DataObject","UserSecurityRecord","User security record - mapped from CSUSR01Y copybook"
"id-entity-trantype","DataObject","TransactionTypeRecord","Transaction type record - mapped from transaction type copybook"
"id-entity-trancat","DataObject","TransactionCategoryRecord","Transaction category record"
"id-entity-trancatbal","DataObject","TransactionCategoryBalanceRecord","Transaction category balance record"
"id-entity-discgroup","DataObject","DisclosureGroupRecord","Disclosure group record for interest rates"
"id-entity-commarea","DataObject","CardDemoCommarea","Common communication area - mapped from COCOM01Y copybook"
"id-entity-menuopt","DataObject","MenuOption","Menu option definition - mapped from CSMEN02Y copybook"
"id-repo-account","ApplicationComponent","AccountRepository","Spring Data JPA repository for AccountRecord - replaces VSAM ACCTFILE"
"id-repo-card","ApplicationComponent","CardRepository","Spring Data JPA repository for CardRecord - replaces VSAM CARDFILE"
"id-repo-cardxref","ApplicationComponent","CardXrefRepository","Spring Data JPA repository for CardXrefRecord - replaces VSAM XREFFILE"
"id-repo-customer","ApplicationComponent","CustomerRepository","Spring Data JPA repository for CustomerRecord - replaces VSAM CUSTFILE"
"id-repo-transaction","ApplicationComponent","TransactionRepository","Spring Data JPA repository for TransactionRecord - replaces VSAM TRANSACT"
"id-repo-dailytran","ApplicationComponent","DailyTransactionRepository","Spring Data JPA repository for DailyTransactionRecord - replaces VSAM DALYTRAN"
"id-repo-user","ApplicationComponent","UserSecurityRepository","Spring Data JPA repository for UserSecurityRecord - replaces VSAM USRSEC"
"id-repo-trantype","ApplicationComponent","TransactionTypeRepository","Spring Data JPA repository for TransactionTypeRecord"
"id-repo-trancat","ApplicationComponent","TransactionCategoryRepository","Spring Data JPA repository for TransactionCategoryRecord"
"id-repo-trancatbal","ApplicationComponent","TransactionCategoryBalanceRepository","Spring Data JPA repository for TransactionCategoryBalanceRecord - replaces VSAM TCATBALF"
"id-repo-discgroup","ApplicationComponent","DisclosureGroupRepository","Spring Data JPA repository for DisclosureGroupRecord - replaces VSAM DISCGRP"
"id-db-h2","Node","H2 In-Memory Database","H2 in-memory database replacing VSAM files for data persistence"
"id-tech-springboot","Node","Spring Boot 3.2","Spring Boot 3.2 application framework"
"id-tech-java17","Node","Java 17","Java 17 runtime environment"
"id-tech-maven","Node","Maven","Apache Maven build tool"
"id-util-constants","ApplicationComponent","CardDemoConstants","Application-wide constants - migrated from COBOL copybooks"
"id-util-datetime","ApplicationComponent","DateTimeUtil","Date/time formatting utilities"
"id-util-menuconfig","ApplicationComponent","MenuOptionsConfig","Menu configuration - migrated from CSMEN02Y copybook"
