"ID","Type","Name","Documentation","Source","Target"
"rel-091","ServingRelationship","","TransactionRepository serves Transaction List Service","id-repo-transaction","id-svc-tranlist"
"rel-092","ServingRelationship","","TransactionRepository serves Transaction View Service","id-repo-transaction","id-svc-tranview"
"rel-093","ServingRelationship","","TransactionRepository serves Transaction Add Service","id-repo-transaction","id-svc-tranadd"
"rel-094","ServingRelationship","","UserSecurityRepository serves Signon Service","id-repo-user","id-svc-signon"
"rel-095","ServingRelationship","","UserSecurityRepository serves User Management Service","id-repo-user","id-svc-usermgmt"
"rel-096","ServingRelationship","","CustomerRepository serves Customer File Processor","id-repo-customer","id-svc-custfileproc"
"rel-097","ServingRelationship","","CardXrefRepository serves Card Xref Processor","id-repo-cardxref","id-svc-cardxrefproc"
"rel-098","ServingRelationship","","DailyTransactionRepository serves Daily Transaction Posting","id-repo-dailytran","id-svc-dailytranpost"
"rel-099","ServingRelationship","","TransactionCategoryBalanceRepository serves Interest Calculator","id-repo-trancatbal","id-svc-interestcalc"
"rel-100","ServingRelationship","","DisclosureGroupRepository serves Interest Calculator","id-repo-discgroup","id-svc-interestcalc"
"rel-101","ServingRelationship","","TransactionTypeRepository serves Transaction Type List","id-repo-trantype","id-svc-trantypelist"
"rel-102","ServingRelationship","","TransactionTypeRepository serves Transaction Type Update","id-repo-trantype","id-svc-trantypeupd"
"rel-103","ServingRelationship","","TransactionTypeRepository serves Transaction Type Batch Update","id-repo-trantype","id-svc-trantypebatch"
"rel-104","RealizationRelationship","","CardDemo Application runs on Spring Boot 3.2","id-app","id-tech-springboot"
"rel-105","RealizationRelationship","","Spring Boot 3.2 runs on Java 17","id-tech-springboot","id-tech-java17"
"rel-106","RealizationRelationship","","CardDemo Application built with Maven","id-app","id-tech-maven"
"rel-107","AccessRelationship","read/write","AccountRepository accesses H2 Database","id-repo-account","id-db-h2"
"rel-108","AccessRelationship","read/write","CardRepository accesses H2 Database","id-repo-card","id-db-h2"
"rel-109","AccessRelationship","read/write","CustomerRepository accesses H2 Database","id-repo-customer","id-db-h2"
"rel-110","AccessRelationship","read/write","TransactionRepository accesses H2 Database","id-repo-transaction","id-db-h2"
"rel-111","AccessRelationship","read/write","UserSecurityRepository accesses H2 Database","id-repo-user","id-db-h2"
"rel-112","AccessRelationship","read/write","CardXrefRepository accesses H2 Database","id-repo-cardxref","id-db-h2"
"rel-113","AccessRelationship","read/write","DailyTransactionRepository accesses H2 Database","id-repo-dailytran","id-db-h2"
"rel-114","AccessRelationship","read/write","TransactionTypeRepository accesses H2 Database","id-repo-trantype","id-db-h2"
"rel-115","AccessRelationship","read/write","TransactionCategoryRepository accesses H2 Database","id-repo-trancat","id-db-h2"
"rel-116","AccessRelationship","read/write","TransactionCategoryBalanceRepository accesses H2 Database","id-repo-trancatbal","id-db-h2"
"rel-117","AccessRelationship","read/write","DisclosureGroupRepository accesses H2 Database","id-repo-discgroup","id-db-h2"
