"ID","Key","Value"
"id-svc-tranlist","COBOL Program","COTRN00C.cbl"
"id-svc-tranlist","Java Class","com.cardemo.service.online.TransactionListService"
"id-svc-tranview","COBOL Program","COTRN01C.cbl"
"id-svc-tranview","Java Class","com.cardemo.service.online.TransactionViewService"
"id-svc-tranadd","COBOL Program","COTRN02C.cbl"
"id-svc-tranadd","Java Class","com.cardemo.service.online.TransactionAddService"
"id-svc-billpay","COBOL Program","COBIL00C.cbl"
"id-svc-billpay","Java Class","com.cardemo.service.online.BillPaymentService"
"id-svc-report","COBOL Program","CORPT00C.cbl"
"id-svc-report","Java Class","com.cardemo.service.online.ReportService"
"id-svc-usermgmt","COBOL Program","COUSR00C.cbl, COUSR01C.cbl, COUSR02C.cbl, COUSR03C.cbl"
"id-svc-usermgmt","Java Class","com.cardemo.service.online.UserManagementService"
"id-svc-acctfileproc","COBOL Program","CBACT01C.cbl"
"id-svc-acctfileproc","Java Class","com.cardemo.service.batch.AccountFileProcessorService"
"id-svc-cardfileproc","COBOL Program","CBACT02C.cbl"
"id-svc-cardfileproc","Java Class","com.cardemo.service.batch.CardFileProcessorService"
"id-svc-cardxrefproc","COBOL Program","CBACT03C.cbl"
"id-svc-cardxrefproc","Java Class","com.cardemo.service.batch.CardXrefProcessorService"
"id-svc-interestcalc","COBOL Program","CBACT04C.cbl"
"id-svc-interestcalc","Java Class","com.cardemo.service.batch.InterestCalculatorService"
"id-svc-tranposting","COBOL Program","CBTRN02C.cbl"
"id-svc-tranposting","Java Class","com.cardemo.service.batch.TransactionPostingService"
"id-svc-dailytranpost","COBOL Program","CBTRN03C.cbl"
"id-svc-dailytranpost","Java Class","com.cardemo.service.batch.DailyTransactionPostingService"
"id-svc-tranreport","COBOL Program","CBTRN03C.cbl"
"id-svc-tranreport","Java Class","com.cardemo.service.batch.TransactionReportService"
"id-svc-custfileproc","COBOL Program","CBCUS01C.cbl"
"id-svc-custfileproc","Java Class","com.cardemo.service.batch.CustomerFileProcessorService"
"id-svc-dataexport","COBOL Program","CBEXPORT.cbl"
"id-svc-dataexport","Java Class","com.cardemo.service.batch.DataExportService"
"id-svc-dataimport","COBOL Program","CBIMPORT.cbl"
"id-svc-dataimport","Java Class","com.cardemo.service.batch.DataImportService"
"id-svc-cardauth","COBOL Program","COPAUR1C.cbl"
"id-svc-cardauth","Java Class","com.cardemo.service.authorization.CardAuthorizationService"
"id-svc-authsummary","COBOL Program","COPAUS0C.cbl"
"id-svc-authsummary","Java Class","com.cardemo.service.authorization.AuthorizationSummaryService"
"id-svc-authdetail","COBOL Program","COPAUS1C.cbl"
"id-svc-authdetail","Java Class","com.cardemo.service.authorization.AuthorizationDetailService"
"id-svc-authdetailview","COBOL Program","COPAUS2C.cbl"
"id-svc-authdetailview","Java Class","com.cardemo.service.authorization.AuthorizationDetailViewService"
"id-svc-authbatch","COBOL Program","CBPAUP0C.cbl"
"id-svc-authbatch","Java Class","com.cardemo.service.authorization.AuthorizationBatchService"
"id-svc-trantypelist","COBOL Program","COTRTLIC.cbl"
"id-svc-trantypelist","Java Class","com.cardemo.service.transactiontype.TransactionTypeListService"
"id-svc-trantypeupd","COBOL Program","COTRTUPC.cbl"
"id-svc-trantypeupd","Java Class","com.cardemo.service.transactiontype.TransactionTypeUpdateService"
"id-svc-trantypebatch","COBOL Program","COBTUPDT.cbl"
"id-svc-trantypebatch","Java Class","com.cardemo.service.transactiontype.TransactionTypeBatchUpdateService"
"id-svc-acctmsg","COBOL Program","COACCT01.cbl"
"id-svc-acctmsg","Java Class","com.cardemo.service.messaging.AccountMessageService"
"id-svc-date","COBOL Program","CODATE01.cbl"
"id-svc-date","Java Class","com.cardemo.service.messaging.DateService"
"id-ctrl-account","REST Endpoint","/api/accounts"
"id-ctrl-account","Java Class","com.cardemo.controller.AccountController"
"id-ctrl-card","REST Endpoint","/api/cards"
"id-ctrl-card","Java Class","com.cardemo.controller.CardController"
"id-ctrl-transaction","REST Endpoint","/api/transactions"
"id-ctrl-transaction","Java Class","com.cardemo.controller.TransactionController"
"id-ctrl-signon","REST Endpoint","/api/auth"
"id-ctrl-signon","Java Class","com.cardemo.controller.SignonController"
"id-ctrl-user","REST Endpoint","/api/users"
"id-ctrl-user","Java Class","com.cardemo.controller.UserController"
"id-ctrl-report","REST Endpoint","/api/reports"
"id-ctrl-report","Java Class","com.cardemo.controller.ReportController"
"id-ctrl-authorization","REST Endpoint","/api/authorization"
"id-ctrl-authorization","Java Class","com.cardemo.controller.AuthorizationController"
"id-ctrl-trantype","REST Endpoint","/api/transaction-types"
"id-ctrl-trantype","Java Class","com.cardemo.controller.TransactionTypeController"
"id-entity-account","COBOL Copybook","CVACT01Y"
"id-entity-account","Record Size","300 bytes"
"id-entity-account","VSAM File","ACCTFILE"
"id-entity-account","JPA Table","account_record"
"id-entity-card","COBOL Copybook","CVACT02Y"
"id-entity-card","Record Size","150 bytes"
"id-entity-card","VSAM File","CARDFILE"
"id-entity-card","JPA Table","card_record"
"id-entity-cardxref","COBOL Copybook","CVACT03Y"
"id-entity-cardxref","VSAM File","XREFFILE"
"id-entity-cardxref","JPA Table","card_xref_record"
"id-entity-customer","COBOL Copybook","CVCUS01Y"
"id-entity-customer","Record Size","500 bytes"
"id-entity-customer","VSAM File","CUSTFILE"
"id-entity-customer","JPA Table","customer_record"
"id-entity-transaction","COBOL Copybook","CVTRA05Y"
"id-entity-transaction","Record Size","350 bytes"
"id-entity-transaction","VSAM File","TRANSACT"
"id-entity-transaction","JPA Table","transaction_record"
"id-entity-dailytran","COBOL Copybook","CVTRA06Y"
"id-entity-dailytran","VSAM File","DALYTRAN"
"id-entity-dailytran","JPA Table","daily_transaction_record"
"id-entity-user","COBOL Copybook","CSUSR01Y"
"id-entity-user","VSAM File","USRSEC"
"id-entity-user","JPA Table","user_security_record"
"id-entity-trantype","JPA Table","transaction_type_record"
"id-entity-trancat","JPA Table","transaction_category_record"
"id-entity-trancatbal","VSAM File","TCATBALF"
"id-entity-trancatbal","JPA Table","transaction_category_balance_record"
"id-entity-discgroup","VSAM File","DISCGRP"
"id-entity-discgroup","JPA Table","disclosure_group_record"
"id-entity-commarea","COBOL Copybook","COCOM01Y"
"id-entity-menuopt","COBOL Copybook","CSMEN02Y"
"id-db-h2","Database Type","H2 In-Memory"
"id-db-h2","DDL Auto","update (spring.jpa.hibernate.ddl-auto)"
"id-db-h2","Original Storage","VSAM KSDS Files"
"id-tech-springboot","Version","3.2.0"
"id-tech-java17","Version","17"
"id-tech-maven","Version","3.x"
